prenatal;CMI_binario;CMI;renda;saneamento;desemprego;analfabet;Gini;fundamental;PIB_per_capita
16.09;0;11.93887297;213.87;0.758293839;5.19;30.6;0.694;25.98;4916.36
23.6;1;27.03463813;223.69;14.09940945;8.75;29.2;0.5991;27.06;7433.11
32.78;1;15.10663507;335.3;8.131021195;9.51;15.3;0.5688;40.29;7331
41.14;0;11.42857143;248.52;1.622176591;7.46;12.6;0.5766;37.43;5360.86
35.87;1;14.29124573;738.42;40.91406203;10.79;3.9;0.6334;65.29;26968.8
23.13;1;15.10067114;292.25;1.15328161;7.33;18.3;0.6074;34.38;7730.78
26.99;1;23.7946149;126.8;9.595417114;17.67;23.4;0.6977;26.95;4752.05
31.03;1;17.83038657;238.1;1.959216313;4.3;9.4;0.6452;36.72;5266.39
17.86;0;9.061488673;183.82;0.581395349;14.3;9.1;0.6586;37.55;3952.25
19.94;1;16.36606546;224;6.247755835;5.84;10.4;0.6337;30.07;4932.84
24.89;1;19.8019802;242.85;0.824873096;5.78;18.1;0.6037;34.16;4768.7
15.27;1;16.49813731;219.57;10.01175088;8.58;21;0.5749;31.75;4839.78
26.04;1;17.6398453;307.1;1.620627933;8.68;5.8;0.5947;52.55;6619.57
21.84;1;25.62459962;213.82;5.575598557;10.55;31.1;0.7268;25.21;5346.84
44.34;0;11.0560427;385.09;27.65015223;5.63;7.7;0.5384;46.98;15776.91
29.68;1;16.42935378;306.91;0.968165409;15.74;12.1;0.5566;41.53;8665.62
18.8;1;37.08523097;129.88;1.074443592;5.71;38.5;0.7279;29.96;4109.16
63.61;1;19.47386402;118.9;2.054108216;7.18;24.4;0.6738;25.58;4043.02
14.96;1;39.44273566;332.02;3.271028037;4.33;16.7;0.8082;39.65;4647.83
8.84;1;20.74004242;148;2.326017633;3.54;25.1;0.6433;32.45;4130.94
53.81;0;13.65187713;261.07;0.822622108;1.85;10.4;0.5781;37.77;4658.24
34.7;1;20.47413793;233.86;0.403225806;10.55;5.7;0.5713;48.12;7063.11
26.31;1;23.53410451;319.73;7.489514679;7.81;13.9;0.6618;45.3;4441.63
34.15;0;13.58148893;190;17.87365177;4.82;31.5;0.6021;26.42;5576.84
26.13;1;16.98782961;386.88;15.50349363;6.58;13.9;0.6293;42.97;6019.33
34.03;0;4.19412822;188.63;0.250447227;6;18.9;0.5448;29.64;4871.54
25.26;1;27.72643253;221.46;1.870437956;1.52;18.8;0.6129;25.46;8642.97
49.73;0;6;236.08;2.19941349;6.24;8.8;0.6091;47.97;6320.21
22.68;0;7.946210269;219.1;1.183611533;8.71;9.6;0.5813;37.77;4776.85
9.79;1;23.58827734;119.41;0.189753321;21.71;39.8;0.7502;22.7;9078.29
17.33;1;27.96376526;193.32;6.594594595;4.53;39.9;0.7369;30.59;9980.26
47.8;0;12.67389959;752.13;18.68196721;7.33;5.7;0.5936;67.17;16390.31
17.41;1;14.56664239;319.92;0.837654567;5.95;13;0.7323;38.83;10996.06
21.51;0;13.69863014;293.59;0.715465052;5.19;18.2;0.6673;37.99;11726.18
21.01;1;24.40318302;314.32;42.89900812;8.31;12.9;0.567;41.64;9854.69
44.53;0;11.19402985;331.13;13.27146172;7.4;13.3;0.5549;39.76;10345.8
33.16;1;18.49405548;253.52;25.31305903;12.19;28.3;0.631;33.07;9743.29
41.21;0;9.9535501;426.14;2.915376677;6.16;17.7;0.7061;39.8;11168.05
13.58;1;18.15736382;198.4;0.235017626;27.76;14.5;0.712;39.93;10003.32
27.53;1;23.06079665;357.11;3.343083995;4.66;10.9;0.7429;48.24;10951.61
36.47;0;13.36898396;280.21;0.673967987;6.09;14.5;0.5729;39.1;9809.02
47.97;0;10.9375;353.82;6.516724337;6.87;11.8;0.5498;46.57;9777.4
41.57;0;4.494382022;321.13;0.749711649;8.85;12.4;0.5895;43.52;9454.62
5.21;1;33.99433428;117.47;0.138504155;1.68;26.8;0.778;21.59;7334.62
33.6;1;15.32538125;287.19;1.060905004;8.55;13;0.5389;42.56;3786.92
40.66;1;18.03278689;380.89;0.481798715;10.97;17;0.5825;35.08;6811.9
21.84;1;16.3291966;197.94;0.230473752;7.31;20.6;0.5355;20.65;4392.31
11.82;1;19.19956733;162.49;0.118448327;11.76;27.8;0.6604;19.56;3246.22
26.17;0;13.55578728;239.92;7.157604955;13.52;13;0.526;22.61;7775.99
39.86;1;22.35904083;206.54;0.528663473;6.56;15.5;0.5968;30.49;4643.43
29.4;1;22.38403452;459.27;17.00585093;10.67;12.2;0.6573;44.37;12770.11
30.94;1;22.28796844;478.9;1.593067696;6.63;12.8;0.5721;45.37;7309.9
9.99;0;13.36432307;186.2;0.721203379;5.99;31.2;0.6181;16.62;2749.38
47.84;1;15.5003567;544.31;11.50556439;10.98;3.4;0.5352;64.11;7775.22
28.42;1;21.41900937;261.75;0.0591133;3.59;19;0.5855;26.92;4541.21
20.19;0;12.87553648;149.79;0.429039178;3.81;23.7;0.5682;25.2;3257.95
28.9;1;18.80733945;169.63;0.71930125;8.01;24.1;0.5846;25.84;4760.07
24.12;0;9.554140127;147.65;0.844004657;6.07;13.3;0.6049;34.48;3334.64
24.44;1;18.54193005;159.16;0.673672864;12.11;23.9;0.4831;20.44;2364.62
33.46;1;15.8005618;221.14;0.749344324;4.1;13.8;0.5428;37.92;3940.33
34.36;1;19.30501931;406.25;0.101626016;6.16;15;0.6263;27.14;10383.43
48.87;1;14.22901946;416.77;12.05119948;13.11;8.1;0.5734;52.47;35552.46
56.16;1;16.89171206;812.43;37.62690545;10.07;3.3;0.6284;66.73;12908.95
35.23;1;23.66345311;235.34;0.300978179;12.01;11.8;0.5922;36.12;4606.81
37.49;0;11.48742325;375.51;1.287961947;13.6;6.3;0.492;53.05;11600.52
24.15;1;19.91701245;325.6;1.169438669;6.23;21.5;0.5297;30.24;5303.72
21.21;1;18.80877743;216.14;0.270921132;6.55;22.5;0.5122;25.15;3387.51
21.69;1;18.51851852;309.16;1.262298833;5.75;15.3;0.5843;38.77;3990.51
56.38;1;21.62941601;399.35;0.389729482;4.05;18.7;0.6838;30.24;5715.03
32.99;1;15.38461538;297.3;0.78410873;3.94;19.5;0.5805;36.01;5074.72
26.84;1;17.67905712;245.84;5.087518403;12.69;19.6;0.5358;29;9804.99
15.06;1;21.41788253;206.39;0.382857143;8.46;25.8;0.5828;23.49;3607.87
20.61;0;11.38868479;167.93;0.580700256;3.27;14.8;0.5382;34;2923.93
14.19;1;15.9668835;129.49;0.159602766;4.98;32.7;0.5805;18.05;2461.45
22.56;1;21.07728337;200.85;0.903680846;10.34;14.8;0.6134;27.76;3466.77
22.17;1;22.14242968;225.05;3.547390255;6.49;10.4;0.581;38.1;3129.21
51.98;0;13.28535843;490.67;21.2962963;10.75;9.6;0.5686;49.02;58390.78
28.84;1;18.25383158;350.88;0.160123354;8.88;14;0.5348;47.47;7873.32
23.95;0;11.25401929;248.28;1.088382864;5.83;24.1;0.5837;26.73;3634.67
38.88;1;15.50433296;449.32;3.573629082;9.52;7.5;0.5555;51.44;8369.75
5.35;1;18.88276947;198.37;0.626740947;6.15;29.9;0.6732;11.48;3699.66
28.98;0;14.13427562;223.4;0.466451381;4.85;10.7;0.5657;40.03;3623.94
33.89;1;17.40947075;387.41;0.412355092;7.01;14.7;0.5348;44.31;5910.53
16.67;1;22.61306533;257.44;0.318066158;5.04;19.1;0.506;31.57;3642.26
20.29;1;40.28776978;387.07;0.643939394;7.63;22.9;0.6175;21.05;9498.88
40.17;1;21.17263844;314.7;0.382555471;11.39;18.7;0.5527;39.47;5693.37
19.19;1;20.01429593;188.14;1.201143947;6.76;20.2;0.5749;21.44;2272.44
21.73;1;20.97315436;175.96;0.075528701;3.66;13.7;0.6014;35.78;5228.3
26.22;1;18.23708207;217.92;0.517464424;8.1;8.5;0.5828;38.19;3542.37
18.11;1;16.13291596;342.6;1.23836628;12.93;16.6;0.535;37.32;5282.54
11.57;1;21.0330962;274.97;0.086902545;5.84;22.1;0.58;25.81;6288.7
23.04;1;18.9701897;176.16;0.467836257;2.71;10.2;0.5606;36.13;5374.01
15.5;1;16.42857143;275.2;0.041313778;12.54;18.6;0.6247;30.57;16274.7
21.98;1;14.82422702;229.91;0;2.52;28.7;0.5453;24.49;3627.14
9.4;1;16.23461639;292.63;0.395408163;8.38;24.5;0.5619;27.07;4838.74
13.94;0;12.34930903;188.95;0.630329996;4.28;22.4;0.568;23.08;3208.28
40.9;1;15.30091806;281.76;0.877385392;11.67;16.7;0.5731;38.17;3465.88
30.57;1;15.89299764;193.62;0.674943755;8.54;18.7;0.5343;29.23;3044.68
35.79;0;9.911894273;243.96;0.320384461;7.21;15;0.5257;35.85;3619.76
26.3;1;18.75689592;174.93;1.634159199;10.62;24.2;0.5863;19.2;6175.39
23.03;1;16.45123384;222.92;0.267129691;3.98;19;0.5868;29.41;2941.57
25.48;1;19.93704092;422.49;1.679318095;7.11;13.6;0.577;40.77;6659.57
10;1;16.1097852;221.24;1.806174411;8.67;23.4;0.6186;26.33;4254.58
10.29;1;33.85178408;287.44;0.087298123;6.82;25.3;0.6964;20.69;6658.85
23.95;1;18.39659179;379.34;2.751272265;15.28;16;0.6113;37.07;4780.71
44.72;1;22.75903374;236.69;0.893049279;8.74;9.8;0.603;38.46;11960.54
21.9;1;17.26844584;171.61;0.245499182;4.28;14.3;0.5793;30.73;3767.88
36.37;1;18.41231512;363.91;0.311614731;7.04;16.9;0.5886;33.98;5500.26
36.25;0;12.02749141;204.57;0.604229607;4.83;11.7;0.5478;37.31;3430.36
30.42;1;18.57340447;505.03;6.012537837;9.59;10.6;0.5978;49.53;15413.46
22.09;0;11.62790698;215.45;0.67766647;4.7;12.3;0.6026;32.9;3732.04
34.33;1;14.64208243;270.21;0.477540666;4.52;9.7;0.5487;40.11;3891.2
38.23;1;18.3714002;366.44;4.251197134;14.44;5.1;0.4477;57.21;5849.93
26.66;0;12.53656498;339.79;0.163309744;2.41;18.8;0.6138;27.47;5980.54
29.11;1;18.01222258;134.8;0.271672018;14.25;38.5;0.5537;11.13;2886.56
19.06;1;14.90196078;220.07;0.130792227;11.57;10.1;0.5921;34.98;3519.01
24.89;1;18.69599372;287.71;0.566353456;5.93;18.9;0.6325;28.64;3888.73
28.13;1;21.33632791;225.34;0.561020036;6.91;14.1;0.5994;36.31;5621.58
32.83;1;20.44680045;227.19;0.597609562;9.83;13;0.5671;29.11;2587.05
23.22;1;18.62789641;157.72;0.663243475;1.75;26;0.6405;21.25;3492.71
28.47;1;24.46982055;309.62;0.502911593;6.44;21.6;0.5978;29.7;4243.5
24.46;1;16.6453265;266.71;0.520976145;6.4;20.9;0.5192;36.75;3627.76
31.42;1;24.40087146;642.52;0.317781309;3.45;9.6;0.5563;39.37;8812.4
13.94;1;18.18981957;251.79;7.07444349;4.57;21.2;0.5957;26.17;4912.92
32.11;1;15.52967277;253.77;0.36431491;5.58;12.8;0.5914;35.7;5103.26
29.46;1;27.56629036;174.99;0.402267325;4.43;16.7;0.5716;21.52;3933.48
40.3;1;16.38892715;327.52;7.701309149;9.96;10.9;0.6535;41.16;19271.75
29.59;0;11.42857143;278.52;0.340632603;6.51;19.5;0.6305;31.26;3520.38
41.6;1;21.21539015;420.02;1.497386637;6.91;13;0.5812;37.7;9300.31
16.33;1;21.19736465;227.66;0.03983667;4.29;20.5;0.6628;24.29;4713.97
20.29;1;16.17647059;276.35;0.252780586;6.39;23;0.5611;33.66;4692.22
22.24;1;19.90236575;491.75;2.034685785;9.97;13.3;0.6151;42.09;12629.23
58.01;1;15.69000952;600.75;15.51046201;10.53;7.6;0.5452;58.25;103426.83
45.36;1;23.95209581;272.9;0.060753341;8.66;24.4;0.5103;31.99;6384.56
18.9;1;20.6185567;223.44;0.407424174;10.69;20.2;0.5668;33.6;3364.98
25.3;1;26.25298329;259.69;0;11.46;21.7;0.5264;26.17;7355.4
39.1;1;16.70463174;228.99;0.107836089;6.11;17.3;0.592;29.34;3552.05
30.7;1;23.45844504;248.63;9.677419355;9.52;14.7;0.6104;31.82;3395.7
15.19;1;22.07814964;190.61;0.281074329;8.5;29.8;0.6523;19.36;3637.03
13.06;1;18.82845188;186.85;1.650165017;5.27;18.9;0.5993;23.04;3222.92
31.86;1;19.07442151;181.13;0.130081301;4.11;16.3;0.682;23.66;4345.38
38.25;1;18.16118048;276.02;1.323751891;14.28;21.4;0.655;31.26;3257.69
17.49;1;24.69135802;243.59;0.196399345;9.37;22.7;0.6068;26.82;4143.53
21.7;1;16.53093473;518.53;0.281675972;7.5;11.7;0.537;45.63;8630.58
54.69;1;16.10120759;454.43;0.349175558;6.84;16.3;0.5365;35.98;11869.3
25.02;1;21.21281992;318.83;2.744315915;11.34;20.3;0.5647;32.84;5781.37
25.25;1;18.58027632;234.48;0.32161235;8.52;18.7;0.565;29.97;3339.86
19.73;1;15.57191393;383.95;1.729455827;5.98;10.4;0.5277;44.77;4466.06
24.3;1;26.22377622;279.61;0.276134122;4.96;9;0.5729;39.93;4023.21
31.1;1;19.55835962;276.46;1.00896861;11.45;8.3;0.5346;45.29;3904.68
15.8;0;8.174386921;152.12;2.465023318;11.22;11.9;0.5267;34.91;3526.78
39;1;14.67148629;377.73;0.885187857;10.09;9.7;0.5225;49.74;5322.04
23.31;1;14.44223108;215.09;0.753498385;7.82;24.3;0.5692;29.38;3405.22
20.68;1;15.06024096;248.43;0;4.44;18.8;0.5682;24.24;6012.41
28.95;0;12.95097132;318.83;0.630815329;4.77;18.5;0.5313;33.35;4657.23
31.69;1;17.79581642;307.9;0.31810295;17.71;16.5;0.4721;39.27;5631.31
33.66;1;19.02092;398.3;1.983860601;8.71;7.3;0.5852;56.34;6964.25
31.73;0;11.0701107;196.34;1.551389787;5.6;17.1;0.5764;37.91;3829.84
19.19;1;18.0401804;317.73;0.444763271;8.27;11.7;0.531;44.72;3954.49
20.15;1;22.10884354;243.04;0.401037981;7.62;12.7;0.4889;34.52;3921.94
13.8;1;14.59531181;385.2;0.549725137;7.36;18.2;0.5917;36.22;4681.74
28.59;1;18.24162679;185.83;0.312304809;4.07;21;0.6063;26.98;3486.65
27.52;1;21.88868043;382.32;0.344411146;7.97;13.1;0.6423;32.86;5780.83
38.17;1;20.3562341;273.74;0.40660737;6.05;14.9;0.4851;38.5;4328.57
18.65;1;17.88432268;317.65;16.68375568;7.39;20.7;0.532;32.72;6133.46
33.91;0;12.37623762;196.84;0.222222222;2.28;8.3;0.5377;36.8;3657.82
17.31;1;15.58152476;211.02;0.297441999;9.5;20.7;0.5875;24.74;3735.35
21.32;0;12.77013752;214.22;0.368550369;4.73;24.4;0.5573;28.75;3791.52
28.85;1;16.59184072;297.45;0.617039791;5.44;16.2;0.5323;34.34;3915.38
25.95;1;21.97802198;202.54;0.598431696;4.32;14.8;0.546;32.91;3113.72
35.02;0;9.661835749;420.95;2.423378475;4.92;21.7;0.5336;26.78;8462.91
29.45;1;22.08835341;209.3;0.39322444;5.05;24.3;0.5661;19.72;4085.28
29.72;1;16.28222524;296.49;0.469483568;10.23;9.8;0.5322;43.2;4044.82
33.14;1;22.69428685;280.3;1.235539943;17.62;13.7;0.5509;35.57;5404.94
37.3;1;14.3442623;237.44;0.154142582;10.5;9.6;0.5642;41.21;2887.87
33.5;1;17.17967072;333.65;0.497649986;5.75;7.2;0.5931;43.55;3780.75
22.6;1;22.85092492;322.15;0.877257648;7.52;15.8;0.5456;31.99;4764.67
24.19;1;18.06451613;186.61;0.138846035;11.5;21.1;0.5873;26.96;3006.97
29.59;1;28.30188679;315.2;0;4.79;20.7;0.5605;26.8;4527.96
39.1;1;19.92702779;502.04;0.35978836;6.86;13.1;0.5445;41.34;9081.83
39.08;1;19.16124367;526.45;11.58484797;9.35;9.3;0.5833;49.72;29010.19
41.63;1;16.91896705;543.09;0.910576699;13.6;13.1;0.725;31.23;4751.78
37.97;1;16.53084983;340.92;0.106647707;5.92;14.1;0.5864;32.92;4597.8
22.26;1;15.19835137;315.53;0.67813851;8.98;10.1;0.5139;38.34;3824.53
11.71;1;16.27772976;157.36;0.258941576;6.59;20.6;0.6308;24.1;3284.95
27.53;1;17.208413;320.55;0.571236559;7.81;17.7;0.6065;30.68;6497.18
48.68;1;15.5950096;497.24;0.533310019;7.73;11.6;0.5722;38.68;11699.32
33.99;1;17.24137931;475.27;36.38743455;16.72;10.5;0.6192;61.06;29452.42
20.36;1;23.70990237;354.65;6.337633202;14.89;11.3;0.6258;41.89;11095.61
25.78;1;24.27745665;396.68;0.476947536;8.28;16.9;0.6164;41.07;10798.16
19.88;0;10.09081736;395.38;0.53428317;11.16;12.3;0.6722;43.79;12799.82
12.07;1;29.55665025;284.86;0.19379845;10.06;10.9;0.6144;50.18;13586.74
20.61;1;15.2027027;412.66;0.827067669;12.99;14.6;0.6006;45.89;13376.54
11.94;1;23.87267905;203.42;1.476793249;19.08;13.9;0.6368;35.14;8908.86
26.85;1;16.59574468;419.37;0.844354018;10.79;9.6;0.5606;52.18;8906.59
34.28;1;22.63770908;690.04;9.185531861;11.35;6;0.6037;65.98;13096.63
15.18;0;13.79990143;348.5;3.673354055;5.73;22.6;0.6509;35.83;8103.13
18.25;1;21.3345438;560.47;4.393710963;7.84;7.7;0.694;44.88;11520.27
21.93;1;21.49178255;349.25;0.31530439;13.43;12.7;0.5728;48.64;10259.65
11.79;0;10.25641026;227.06;0.124843945;5.47;10.4;0.6553;46.51;9797.51
31.5;1;18.12994662;448.3;3.232594582;13.76;9.4;0.5708;58.55;12267.78
10.03;1;23.14814815;240.38;0.177556818;9.23;16.6;0.6658;37.12;9776.61
27.38;1;15.88502269;297.28;0.290486565;18.8;14.4;0.6018;43.62;9385.9
29.55;1;22.72727273;615.87;1.447368421;7.19;12.9;0.7146;41.21;7992.13
44.87;1;29.61275626;365.16;21.63388805;7.28;15.9;0.4877;44.55;12309.65
55.32;1;16.2037037;349.27;0.522041763;14.34;15;0.4788;46.73;9245.29
31.95;1;20.05347594;353.21;0.913900914;11.61;22.8;0.5745;38.26;6242
58.94;1;24.83443709;535.21;2.629543697;3.36;9.2;0.4734;50.92;17721.1
72.68;1;16.87763713;378.14;21.59090909;5.42;19.2;0.4849;45.08;6850.16
52.94;0;12.60504202;288.07;0.237529691;4.82;17.4;0.4696;44.06;7534.6
45.95;0;13.05483029;314.06;0.4;4.92;14.8;0.4878;39.46;9371.61
37.05;1;14.25178147;355.15;0.354819633;6.42;23.5;0.5422;30.27;7660.07
39.34;1;24.8447205;304.94;0.10940919;7.97;17.1;0.5704;41.82;6879.38
